timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540466204839,43,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,3,0,1
1540466204886,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204889,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204892,10,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204903,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204906,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204909,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204912,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204916,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204919,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204922,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204925,2,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204928,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204931,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204934,2,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204937,2,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204939,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204942,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204945,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204948,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204951,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204954,2,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204956,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204959,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204962,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204965,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204968,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204971,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204974,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204977,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204980,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204983,2,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204985,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466204989,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204992,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204996,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466204999,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205003,2,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205005,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205009,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205012,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205015,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205019,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205022,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205026,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205029,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205032,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205036,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205039,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205043,3,HTTP Request,200,,Load Test 1-100,text,true,,3567,273,1,1,0,0,0
1540466205046,5,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,1
1540466205051,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205054,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205058,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205061,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205064,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205068,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205071,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205074,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205078,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205081,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205085,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205088,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205091,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205094,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205098,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205101,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205104,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205107,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205110,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205113,4,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,1,0,0
1540466205117,3,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
1540466205120,7,HTTP Request,200,,Load Test 1-100,text,true,,3548,273,1,1,0,0,0
