timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1540465779586,44,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,3,3,2,0,1
1540465779606,23,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,3,3,2,0,0
1540465779625,8,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,3,3,5,0,2
1540465779633,12,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,4,4,1,0,0
1540465779633,13,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,4,4,1,0,0
1540465779633,15,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,4,4,1,0,0
1540465779646,4,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,4,4,1,0,0
1540465779645,5,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,4,4,2,0,0
1540465779650,4,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,4,4,1,0,0
1540465779648,7,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,4,4,3,0,0
1540465779645,10,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,4,4,2,0,0
1540465779650,7,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,4,4,1,0,0
1540465779654,4,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,4,4,1,0,0
1540465779655,4,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,4,4,1,0,0
1540465779655,8,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,4,4,2,0,0
1540465779657,6,HTTP Request,200,,Spike Test 1-51,text,true,,3548,273,4,4,2,0,0
1540465779658,8,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,5,5,4,0,0
1540465779660,6,HTTP Request,200,,Spike Test 1-50,text,true,,3548,273,5,5,2,0,0
1540465779663,6,HTTP Request,200,,Spike Test 1-49,text,true,,3548,273,5,5,3,0,0
1540465779666,4,HTTP Request,200,,Spike Test 1-48,text,true,,3548,273,5,5,0,0,0
